source,target,shared_seasons,weighted_core,source_name,target_name,source_community,target_community
blantjo01,swishni01,4,1.3578399798607614,Joe Blanton,Nick Swisher,2,2
fingero01,jacksre01,8,1.3548192214392936,Rollie Fingers,Reggie Jackson,3,3
kendaja01,zitoba01,2,1.3533572236891738,Jason Kendall,Barry Zito,2,2
gallemi01,hendeda01,4,1.3473211366613702,Mike Gallego,Dave Henderson,1,1
chaveer01,giambja01,5,1.3443105587885333,Eric Chavez,Jason Giambi,2,2
mccatst01,murphdw01,8,1.3420427262830406,Steve McCatty,Dwayne Murphy,1,1
campabe01,greendi01,7,1.3350155564556678,Bert Campaneris,Dick Green,3,3
griffal01,phillto02,3,1.3224854932301742,Alfredo Griffin,Tony Phillips,1,1
harderi01,kotsama01,4,1.3214423162844824,Rich Harden,Mark Kotsay,2,2
hendeda01,welchbo01,6,1.3210623936596357,Dave Henderson,Bob Welch,1,1
bartoda02,ellisma01,5,1.3174115760962932,Daric Barton,Mark Ellis,2,2
brosisc01,mcgwima01,7,1.3168007109582793,Scott Brosius,Mark McGwire,1,1
grayso01,reddijo01,4,1.3160163204266566,Sonny Gray,Josh Reddick,5,5
duchsju01,zitoba01,4,1.313117293720619,Justin Duchscherer,Barry Zito,2,2
graveke01,manaese01,3,1.3091944109021907,Kendall Graveman,Sean Manaea,4,4
lansfca01,youngcu01,9,1.3067095221724507,Carney Lansford,Curt Young,1,1
cahiltr01,gonzagi01,3,1.3050228086525726,Trevor Cahill,Gio Gonzalez,2,2
laurera01,murphse01,4,1.3049712082637317,Ramon Laureano,Sean Murphy,4,4
giambja01,stairma01,5,1.2992052043450444,Jason Giambi,Matt Stairs,2,2
bluevi01,hunteca01,6,1.2877645466318286,Vida Blue,Catfish Hunter,3,3
hendeda01,lansfca01,5,1.2876525934879441,Dave Henderson,Carney Lansford,1,1
crispco01,reddijo01,5,1.280965797576151,Coco Crisp,Josh Reddick,5,5
grosswa01,murphdw01,7,1.2667493034591308,Wayne Gross,Dwayne Murphy,1,1
bailean01,bradeda01,3,1.2641191850731817,Andrew Bailey,Dallas Braden,2,2
ellisma01,streehu01,4,1.2630805374674516,Mark Ellis,Huston Street,2,2
gallemi01,henderi01,4,1.256537092644864,Mike Gallego,Rickey Henderson,1,1
griffal01,murphdw01,3,1.2470502901353966,Alfredo Griffin,Dwayne Murphy,1,1
griffal01,lansfca01,3,1.245889748549323,Alfredo Griffin,Carney Lansford,1,1
daviskh01,graveke01,3,1.2420303605313092,Khris Davis,Kendall Graveman,4,4
langfri01,pagemi02,7,1.2409527759439196,Rick Langford,Mitchell Page,1,1
davismi02,griffal01,3,1.2373791102514506,Mike Davis,Alfredo Griffin,1,1
ellisma01,zieglbr01,4,1.2289285990217573,Mark Ellis,Brad Ziegler,2,2
greendi01,hunteca01,7,1.2248643685507001,Dick Green,Catfish Hunter,3,3
cahiltr01,suzukku01,3,1.20401028148799,Trevor Cahill,Kurt Suzuki,2,2
crosbbo01,zitoba01,4,1.203330245572485,Bobby Crosby,Barry Zito,2,2
canhama01,semiema01,6,1.202434350452505,Mark Canha,Marcus Semien,4,4
daviskh01,olsonma02,6,1.2017259124376534,Khris Davis,Matt Olson,4,4
daviskh01,lowrije01,4,1.2017259124376534,Khris Davis,Jed Lowrie,4,4
