playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank
montgst01,Steve Montgomery,1996,1997,2,0.10231520639504676,0.06676320122309773,0.05115760319752338,-0.62,0.0,-0.25,0.0,0.0,0.0,20.0,1997,Pitcher,P,C03,-0.25,0.0,914
mcbrima02,Matt McBride,2016,2016,1,0.10104441838135553,0.10104441838135553,0.10104441838135553,-0.12,0.0,-0.12,0.0,0.0,44.0,0.0,2016,Hitter,C,C06,-0.12,0.0,915
lachere01,Rene Lachemann,1968,1968,1,0.09913330536721862,0.09913330536721862,0.09913330536721862,-0.67,0.0,-0.67,0.0,0.0,63.0,0.0,1968,Hitter,C,C01,-0.67,0.0,916
matosfr01,Francisco Matos,1994,1994,1,0.09824258051499271,0.09824258051499271,0.09824258051499271,-0.25,0.0,-0.25,0.0,0.0,30.0,0.0,1994,Hitter,2B,C03,-0.25,0.0,917
selmasa01,Sam Selman,2022,2022,1,0.0971108433328128,0.0971108433328128,0.0971108433328128,-0.03,0.0,-0.03,0.0,0.0,0.0,18.333333333333332,2022,Pitcher,P,C07,-0.03,0.0,918
deckeja01,Jaff Decker,2017,2017,1,0.09672243565117174,0.09672243565117174,0.09672243565117174,-0.33,0.0,-0.33,0.0,0.0,62.0,0.0,2017,Hitter,OF,C07,-0.33,0.0,919
resopch01,Chris Resop,2013,2013,1,0.09513380281690142,0.09513380281690142,0.09513380281690142,-0.32,0.0,-0.32,0.0,0.0,0.0,18.0,2013,Pitcher,P,C06,-0.32,0.0,920
bosetri01,Rick Bosetti,1981,1982,2,0.09488828879964359,0.06030326285426977,0.047444144399821794,-0.03,0.0,-0.01,0.0,0.0,38.0,0.0,1981,Hitter,OF,C02,-0.01,0.0,921
mooreke02,Kerwin Moore,1996,1996,1,0.09483753139030517,0.09483753139030517,0.09483753139030517,-0.07,0.0,-0.07,0.0,0.0,18.0,0.0,1996,Hitter,OF,C03,-0.07,0.0,922
bonsebo01,Boof Bonser,2010,2010,1,0.09423986710963457,0.09423986710963457,0.09423986710963457,-0.07,0.0,-0.07,0.0,0.0,0.0,23.0,2010,Pitcher,P,C05,-0.07,0.0,923
ruizno01,Norge Ruiz,2022,2022,1,0.09398543445504771,0.09398543445504771,0.09398543445504771,-0.39,0.0,-0.39,0.0,0.0,0.0,19.0,2022,Pitcher,P,C07,-0.39,0.0,924
johnsja01,Jay Johnstone,1973,1973,1,0.09337698412698413,0.09337698412698413,0.09337698412698413,-0.2,0.0,-0.2,0.0,0.0,30.0,0.0,1973,Hitter,OF,C01,-0.2,0.0,925
rucindr01,Drew Rucinski,2023,2023,1,0.09309680851063833,0.09309680851063833,0.09309680851063833,-0.75,0.0,-0.75,0.0,0.0,0.0,18.0,2023,Pitcher,P,C07,-0.75,0.0,926
ortizjo02,Jose Ortiz,2000,2001,2,0.09294910188393879,0.0633292376219055,0.046474550941969395,-0.8300000000000001,0.0,-0.16,0.0,0.0,59.0,0.0,2000,Hitter,2B,C04,-0.16,0.0,927
lemasjo01,Johnnie LeMaster,1987,1987,1,0.09242972429384169,0.09242972429384169,0.09242972429384169,-0.38,0.0,-0.38,0.0,0.0,25.0,0.0,1987,Hitter,3B,C03,-0.38,0.0,928
goodwda01,Danny Goodwin,1982,1982,1,0.09222157928750409,0.09222157928750409,0.09222157928750409,-0.24,0.0,-0.24,0.0,0.0,57.0,0.0,1982,Hitter,,C02,-0.24,0.0,929
walketo04,Todd Walker,2007,2007,1,0.09089717428150138,0.09089717428150138,0.09089717428150138,-0.15,0.0,-0.15,0.0,0.0,52.0,0.0,2007,Hitter,1B,C04,-0.15,0.0,930
sauersc01,Scott Sauerbeck,2006,2006,1,0.0898381416260772,0.0898381416260772,0.0898381416260772,-0.01,0.0,-0.01,0.0,0.0,0.0,12.333333333333334,2006,Pitcher,P,C04,-0.01,0.0,931
budasma01,Mark Budaska,1978,1981,2,0.08927992042296866,0.0714850050539515,0.04463996021148433,-0.32,0.0,0.0,0.0,0.0,41.0,0.0,1978,Hitter,OF,C02,0.0,0.0,932
carigan01,Andrew Carignan,2011,2012,2,0.0881604388901912,0.054382456140350886,0.0440802194450956,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2012,Pitcher,P,C06,0.0,0.0,933
arroyfe01,Fernando Arroyo,1982,1986,2,0.08810452605064538,0.08407968133014848,0.04405226302532269,-0.22,0.0,0.0,0.0,0.0,0.0,22.333333333333332,1986,Fielder,P,C03,0.0,0.0,934
colanmi01,Mike Colangelo,2002,2002,1,0.0872705314009662,0.0872705314009662,0.0872705314009662,-0.31,0.0,-0.31,0.0,0.0,26.0,0.0,2002,Hitter,OF,C04,-0.31,0.0,935
baislje01,Jeff Baisley,2008,2008,1,0.08667543837443684,0.08667543837443684,0.08667543837443684,-0.31,0.0,-0.31,0.0,0.0,47.0,0.0,2008,Hitter,3B,C04,-0.31,0.0,936
afenitr01,Troy Afenir,1990,1991,2,0.08558255601652663,0.061012436096473326,0.042791278008263316,-0.28,0.0,-0.08,0.0,0.0,26.0,0.0,1990,Hitter,C,C03,-0.08,0.0,937
grimmju01,Justin Grimm,2022,2022,1,0.08539214279383277,0.08539214279383277,0.08539214279383277,0.0,0.0,0.0,0.0,0.0,0.0,15.333333333333334,2022,Pitcher,P,C07,0.0,0.0,938
kaiseje01,Jeff Kaiser,1985,1985,1,0.08440777923189444,0.08440777923189444,0.08440777923189444,-1.45,0.0,-1.45,0.0,0.0,0.0,16.666666666666668,1985,Pitcher,P,C03,-1.45,0.0,939
tellmto01,Tom Tellmann,1985,1985,1,0.0843352896008289,0.0843352896008289,0.0843352896008289,-0.01,0.0,-0.01,0.0,0.0,0.0,21.333333333333332,1985,Pitcher,P,C03,-0.01,0.0,940
alvarar01,Armando Alvarez,2024,2024,1,0.08309860456207946,0.08309860456207946,0.08309860456207946,-0.38,0.0,-0.38,0.0,0.0,39.0,0.0,2024,Hitter,3B,C07,-0.38,0.0,941
mclaide01,Denny McLain,1972,1972,1,0.08112509667516454,0.08112509667516454,0.08112509667516454,-0.85,0.0,-0.85,0.0,0.0,6.0,22.333333333333332,1972,Pitcher,P,C01,-0.85,0.0,942
tapiado01,Domingo Tapia,2022,2022,1,0.08015692464831238,0.08015692464831238,0.08015692464831238,-0.37,0.0,-0.37,0.0,0.0,0.0,17.0,2022,Pitcher,P,C07,-0.37,0.0,943
smithch10,Chad Smith,2023,2023,1,0.07961702127659576,0.07961702127659576,0.07961702127659576,-0.08,0.0,-0.08,0.0,0.0,0.0,13.666666666666666,2023,Pitcher,P,C07,-0.08,0.0,944
mercaor01,Orlando Mercado,1988,1988,1,0.07871972861764615,0.07871972861764615,0.07871972861764615,-0.18,0.0,-0.18,0.0,0.0,27.0,0.0,1988,Hitter,C,C03,-0.18,0.0,945
brumlmi02,Mike Brumley,1994,1994,1,0.07859294445553594,0.07859294445553594,0.07859294445553594,-0.36,0.0,-0.36,0.0,0.0,26.0,0.0,1994,Hitter,2B,C03,-0.36,0.0,946
summech01,Champ Summers,1974,1974,1,0.07798268778487018,0.07798268778487018,0.07798268778487018,-0.25,0.0,-0.25,0.0,0.0,25.0,0.0,1974,Hitter,OF,C01,-0.25,0.0,947
lucasjo02,Josh Lucas,2018,2018,1,0.07683302417250991,0.07683302417250991,0.07683302417250991,-0.19,0.0,-0.19,0.0,0.0,0.0,14.333333333333334,2018,Pitcher,P,C07,-0.19,0.0,948
nunezre01,Renato Nunez,2016,2017,2,0.07532539333796201,0.03854750131292302,0.037662696668981005,-0.29000000000000004,0.0,-0.02,0.0,0.0,31.0,0.0,2017,Hitter,OF,C07,-0.02,0.0,949
fuentti01,Tito Fuentes,1978,1978,1,0.07495612714895891,0.07495612714895891,0.07495612714895891,-0.46,0.0,-0.46,0.0,0.0,45.0,0.0,1978,Hitter,2B,C02,-0.46,0.0,950
dacqujo01,John D'Acquisto,1982,1982,1,0.07491466429074117,0.07491466429074117,0.07491466429074117,-0.15,0.0,-0.15,0.0,0.0,0.0,17.0,1982,Pitcher,P,C02,-0.15,0.0,951
sheldsc01,Scott Sheldon,1997,1997,1,0.07415185501956893,0.07415185501956893,0.07415185501956893,-0.03,0.0,-0.03,0.0,0.0,27.0,0.0,1997,Hitter,SS,C03,-0.03,0.0,952
smithma02,Mark Smith,1983,1983,1,0.07323811851605441,0.07323811851605441,0.07323811851605441,-0.27,0.0,-0.27,0.0,0.0,0.0,14.666666666666666,1983,Pitcher,P,C02,-0.27,0.0,953
andremi01,Mike Andrews,1973,1973,1,0.0730436507936508,0.0730436507936508,0.0730436507936508,-0.16,0.0,-0.16,0.0,0.0,24.0,0.0,1973,Hitter,2B,C01,-0.16,0.0,954
lemoija01,Jacob Lemoine,2022,2022,1,0.07296911733050829,0.07296911733050829,0.07296911733050829,-0.54,0.0,-0.54,0.0,0.0,0.0,16.333333333333332,2022,Pitcher,P,C07,-0.54,0.0,955
bowerce01,Cedrick Bowers,2010,2010,1,0.07197209302325583,0.07197209302325583,0.07197209302325583,-0.1,0.0,-0.1,0.0,0.0,0.0,14.0,2010,Pitcher,P,C05,-0.1,0.0,956
alcanar01,Arismendy Alcantara,2016,2016,1,0.06923796465016249,0.06923796465016249,0.06923796465016249,-0.34,0.0,-0.34,0.0,0.0,19.0,0.0,2016,Hitter,OF,C06,-0.34,0.0,957
glynnry01,Ryan Glynn,2005,2005,1,0.06895316950181316,0.06895316950181316,0.06895316950181316,-0.56,0.0,-0.56,0.0,0.0,1.0,17.0,2005,Pitcher,P,C04,-0.56,0.0,958
johnsma02,Mark Johnson,2003,2003,1,0.06760032398203374,0.06760032398203374,0.06760032398203374,-0.24,0.0,-0.24,0.0,0.0,33.0,0.0,2003,Hitter,C,C04,-0.24,0.0,959
orfna01,Nate Orf,2020,2020,1,0.06757118644067797,0.06757118644067797,0.06757118644067797,-0.25,0.0,-0.25,0.0,0.0,7.0,0.0,2020,Hitter,SS,C07,-0.25,0.0,960
guduare01,Reymin Guduan,2021,2021,1,0.06754147812971344,0.06754147812971344,0.06754147812971344,-0.2,0.0,-0.2,0.0,0.0,0.0,14.333333333333334,2021,Pitcher,P,C07,-0.2,0.0,961
holtzmi01,Mike Holtz,2002,2002,1,0.06659340659340661,0.06659340659340661,0.06659340659340661,-0.22,0.0,-0.22,0.0,0.0,0.0,14.0,2002,Pitcher,P,C04,-0.22,0.0,962
elliora01,Randy Elliott,1980,1980,1,0.0651878183398647,0.0651878183398647,0.0651878183398647,-0.44,0.0,-0.44,0.0,0.0,40.0,0.0,1980,Hitter,,C02,-0.44,0.0,963
etherse01,Seth Etherton,2005,2005,1,0.06518587458951335,0.06518587458951335,0.06518587458951335,-0.13,0.0,-0.13,0.0,0.0,0.0,17.666666666666668,2005,Pitcher,P,C04,-0.13,0.0,964
magnutr01,Trystan Magnuson,2011,2011,1,0.06471888950443552,0.06471888950443552,0.06471888950443552,-0.15,0.0,-0.15,0.0,0.0,0.0,14.666666666666666,2011,Pitcher,P,C05,-0.15,0.0,965
sparkst01,Steve Sparks,2003,2003,1,0.062263456299241585,0.062263456299241585,0.062263456299241585,-0.05,0.0,-0.05,0.0,0.0,0.0,17.333333333333332,2003,Pitcher,P,C04,-0.05,0.0,966
nelsoro03,Rob Nelson,1986,1987,2,0.06190430812640796,0.040326668374855164,0.03095215406320398,-0.34,0.0,-0.06,0.0,0.0,35.0,0.0,1986,Hitter,1B,C03,-0.06,0.0,967
