playerID,player_name,first_year,last_year,oak_seasons,total_core,max_core,avg_core,total_bwar,total_bwar_positive,max_bwar,total_metric_score,max_metric_score,total_pa,total_ip,peak_year,primary_role,primary_pos,peak_era_id,peak_bwar,peak_metric_score,overall_rank,community_id,layout_x,layout_y,community_label
crispco01,Coco Crisp,2010,2016,7,4.7610687682324375,0.9961465846351762,0.6801526811760625,13.66,14.2,3.82,2.611131059247163,0.6637554585152838,3112.0,0.0,2012,Hitter,OF,C06,3.04,0.6637554585152838,33,5,0.8090595738365554,0.8700007909111448,Josh Reddick / Josh Donaldson / Coco Crisp
mondari01,Rick Monday,1968,1971,4,2.840180847379524,0.8267564998666304,0.710045211844881,13.469999999999999,13.469999999999999,3.86,1.8404265112749072,0.6276422764227642,1895.0,0.0,1970,Hitter,OF,C01,3.86,0.6276422764227642,34,3,0.05985347874567293,0.5000004970032025,Sal Bando / Reggie Jackson / Bert Campaneris
armasto01,Tony Armas,1977,1982,6,4.576637365895443,0.9697578571476183,0.7627728943159071,13.43,13.43,5.91,1.8827470479405353,0.671590909090909,2653.0,0.0,1980,Hitter,OF,C02,5.91,0.671590909090909,35,1,0.20264857367682404,0.07565860866176864,Rickey Henderson / Mark McGwire / Dwayne Murphy
fingero01,Rollie Fingers,1968,1976,9,4.233056473191115,0.5907347003353,0.4703396081323461,12.61,13.25,3.76,1.8482575416492673,0.4934383202099737,134.0,1016.0,1976,Pitcher,P,C01,3.76,0.4934383202099737,36,3,0.1357711982382095,0.4878396601766207,Sal Bando / Reggie Jackson / Bert Campaneris
harderi01,Rich Harden,2003,2011,7,2.3891593286487036,0.7030188934264007,0.3413084755212434,12.95,12.95,3.73,2.655135981781099,0.7738589211618256,10.0,624.3333333333334,2005,Pitcher,P,C04,3.73,0.7738589211618256,37,2,0.6399041066690224,0.2753837808472765,Eric Chavez / Tim Hudson / Barry Zito
manaese01,Sean Manaea,2016,2021,6,3.846786915932767,0.8067910581516803,0.6411311526554612,12.59,12.59,3.3800000000000003,2.5892629144924797,0.873900293255132,17.0,727.0,2016,Pitcher,P,C06,2.98,0.873900293255132,38,4,0.8500627630318028,0.6725090012385064,Matt Chapman / Marcus Semien / Matt Olson
welchbo01,Bob Welch,1988,1994,7,4.5392181823388515,0.8044877522324528,0.6484597403341217,10.76,12.34,3.43,1.8434269054924395,0.6305147058823529,1.0,1271.3333333333333,1989,Pitcher,P,C03,3.43,0.6305147058823529,39,1,0.349830774479157,0.12785487504218587,Rickey Henderson / Mark McGwire / Dwayne Murphy
laurera01,Ramon Laureano,2018,2023,6,3.460832991674469,0.8895666131621188,0.5768054986124115,11.77,11.77,3.45,2.4436016991984655,0.6651162790697674,1886.0,0.0,2020,Hitter,OF,C07,1.43,0.6651162790697674,40,4,0.9504028132624499,0.7121111529820159,Matt Chapman / Marcus Semien / Matt Olson
suzukku01,Kurt Suzuki,2007,2013,7,4.5845070979714455,1.0,0.6549295854244922,11.63,11.73,3.83,2.7549596573090676,0.948019801980198,2822.0,0.0,2008,Hitter,C,C04,3.83,0.948019801980198,41,2,0.7349975116807862,0.3316967719279222,Eric Chavez / Tim Hudson / Barry Zito
canhama01,Mark Canha,2015,2021,7,4.432211663850583,0.9785928303905833,0.6331730948357975,10.35,11.73,4.27,2.169891871398398,0.6837209302325582,2492.0,0.0,2020,Hitter,OF,C07,1.47,0.6837209302325582,42,4,0.9039508976268501,0.7240358829117696,Matt Chapman / Marcus Semien / Matt Olson
grayso01,Sonny Gray,2013,2017,5,2.8780415230154412,0.8147449176818088,0.5756083046030882,11.21,11.58,5.4,2.1069899945584933,1.0,13.0,705.0,2015,Pitcher,P,C06,5.4,1.0,43,5,0.8262426414460875,0.866760832753326,Josh Reddick / Josh Donaldson / Coco Crisp
holtzke01,Ken Holtzman,1972,1975,4,3.119566176700669,0.8361290322580647,0.7798915441751673,11.47,11.47,3.65,1.6906009125788282,0.5973813420621931,105.0,1084.3333333333333,1972,Pitcher,P,C01,3.65,0.5973813420621931,44,3,0.06722920755367141,0.531469788575538,Sal Bando / Reggie Jackson / Bert Campaneris
greendi01,Dick Green,1968,1974,7,4.193944149799004,0.8480134360241138,0.599134878542715,11.17,11.4,4.55,1.4311278674707866,0.49136069114470843,2478.0,0.0,1969,Hitter,2B,C01,4.55,0.49136069114470843,45,3,0.03945057171292649,0.47270061095133437,Sal Bando / Reggie Jackson / Bert Campaneris
bordimi01,Mike Bordick,1990,1996,7,5.153103406353655,0.9889741824147985,0.7361576294790936,10.479999999999999,11.399999999999999,4.31,2.203697464413168,0.6682170542635658,2990.0,0.0,1992,Hitter,2B,C03,4.31,0.6682170542635658,46,1,0.4104407168514223,0.11426530111971435,Rickey Henderson / Mark McGwire / Dwayne Murphy
harenda01,Dan Haren,2005,2007,3,2.3827967884675356,0.8074285714285716,0.7942655961558452,11.39,11.39,4.53,2.4390604950527863,0.9476987447698745,16.0,662.6666666666666,2007,Pitcher,P,C04,4.53,0.9476987447698745,47,2,0.6699297821362772,0.32382668725012953,Eric Chavez / Tim Hudson / Barry Zito
grosswa01,Wayne Gross,1976,1986,9,5.3660393380979,0.9664015140673349,0.5962265931219889,10.69,11.02,3.2,1.6396865971885037,0.3729372937293729,3002.0,2.3333333333333335,1977,Hitter,3B,C01,2.26,0.3729372937293729,48,1,0.16450877688223303,0.071937842675121,Rickey Henderson / Mark McGwire / Dwayne Murphy
odombl01,Blue Moon Odom,1968,1975,8,3.9444632411759497,0.8142775010023828,0.4930579051469937,7.3100000000000005,10.93,4.32,1.501191584479236,0.5658093797276853,363.0,1202.6666666666667,1968,Pitcher,P,C01,3.7399999999999998,0.5658093797276853,49,3,0.02,0.46815030870042984,Sal Bando / Reggie Jackson / Bert Campaneris
mooremi01,Mike Moore,1989,1992,4,3.048624310211298,0.8311208145895176,0.7621560775528246,9.32,10.860000000000001,5.44,1.9746617466174663,1.0,0.0,874.0,1989,Pitcher,P,C03,5.44,1.0,50,1,0.36174507749482177,0.08721509911113305,Rickey Henderson / Mark McGwire / Dwayne Murphy
