yearID,top10_players,top_hitters,top_pitchers,returning_core_players,departing_core_players,returning_core_count,departing_core_count,era_id,teamID,lgID,divID,Rank,G,W,L,DivWin,WCWin,LgWin,WSWin,R,RA,attendance,name,park
1979,Rick Langford | Steve McCatty | Brian Kingman | Dave Revering | Dave Heaverlo | Dave Hamilton | John Henry Johnson | Jeff Newman | Mike Norris | Matt Keough,Dave Revering | Jeff Newman | Dwayne Murphy | Wayne Gross | Jim Essian | Tony Armas | Mitchell Page | Mike Edwards,Rick Langford | Steve McCatty | Brian Kingman | Dave Heaverlo | Dave Hamilton | John Henry Johnson | Mike Norris | Matt Keough,Rick Langford | Dave Revering | Dave Heaverlo | John Henry Johnson | Matt Keough,Elias Sosa | Jim Essian | Mitchell Page | Bob Lacey | Rico Carty,5,5,C02,OAK,AL,W,7,162,54,108,N,,N,N,573.0,860.0,306763.0,Oakland Athletics,Oakland Coliseum
1980,Rickey Henderson | Dwayne Murphy | Tony Armas | Mike Norris | Dave Revering | Matt Keough | Wayne Gross | Rick Langford | Jim Essian | Bob Lacey,Rickey Henderson | Dwayne Murphy | Tony Armas | Dave Revering | Wayne Gross | Jim Essian | Mitchell Page | Mickey Klutts,Mike Norris | Matt Keough | Rick Langford | Bob Lacey | Steve McCatty | Dave Beard | Brian Kingman | Jeff Jones,Mike Norris | Dave Revering | Matt Keough | Rick Langford,Steve McCatty | Brian Kingman | Dave Heaverlo | Dave Hamilton | John Henry Johnson | Jeff Newman,4,6,C02,OAK,AL,W,2,162,83,79,N,,N,N,686.0,642.0,842259.0,Oakland Athletics,Oakland Coliseum
1981,Rickey Henderson | Steve McCatty | Dwayne Murphy | Tony Armas | Wayne Gross | Cliff Johnson | Mike Heath | Rob Picciolo | Rick Langford | Dave McKay,Rickey Henderson | Dwayne Murphy | Tony Armas | Wayne Gross | Cliff Johnson | Mike Heath | Rob Picciolo | Dave McKay,Steve McCatty | Rick Langford | Matt Keough | Mike Norris | Dave Heaverlo | Bob Owchinko | Craig Minetto | Rich Bordi,Rickey Henderson | Dwayne Murphy | Tony Armas | Wayne Gross | Rick Langford,Mike Norris | Dave Revering | Matt Keough | Jim Essian | Bob Lacey,5,5,C02,OAK,AL,W,1,109,64,45,Y,,N,N,458.0,403.0,1304052.0,Oakland Athletics,Oakland Coliseum
1982,Rickey Henderson | Dwayne Murphy | Tony Armas | Wayne Gross | Tom Underwood | Jeff Burroughs | Davey Lopes | Rick Langford | Steve McCatty | Mike Davis,Rickey Henderson | Dwayne Murphy | Tony Armas | Wayne Gross | Jeff Burroughs | Davey Lopes | Mike Davis | Mike Heath,Tom Underwood | Rick Langford | Steve McCatty | Dave Beard | Brian Kingman | Chris Codiroli | Tim Conroy | Matt Keough,Rickey Henderson | Dwayne Murphy | Tony Armas | Wayne Gross | Rick Langford | Steve McCatty,Cliff Johnson | Mike Heath | Rob Picciolo | Dave McKay,6,4,C02,OAK,AL,W,5,162,68,94,N,,N,N,691.0,819.0,1735489.0,Oakland Athletics,Oakland Coliseum
1983,Rickey Henderson | Mike Davis | Davey Lopes | Carney Lansford | Tom Burgmeier | Dwayne Murphy | Bob Kearney | Steve McCatty | Keith Atherton | Tony Phillips,Rickey Henderson | Mike Davis | Davey Lopes | Carney Lansford | Dwayne Murphy | Bob Kearney | Tony Phillips | Wayne Gross,Tom Burgmeier | Keith Atherton | Steve McCatty | Tom Underwood | Bill Krueger | Mike Norris | Gorman Heimueller | Chris Codiroli,Rickey Henderson | Mike Davis | Davey Lopes | Dwayne Murphy | Steve McCatty,Tony Armas | Wayne Gross | Tom Underwood | Jeff Burroughs | Rick Langford,5,5,C02,OAK,AL,W,4,162,74,88,N,,N,N,708.0,782.0,1294941.0,Oakland Athletics,Oakland Coliseum
1984,Rickey Henderson | Dwayne Murphy | Carney Lansford | Ray Burris | Bill Caudill | Dave Kingman | Mike Heath | Tony Phillips | Joe Morgan | Jim Essian,Rickey Henderson | Dwayne Murphy | Carney Lansford | Dave Kingman | Mike Heath | Tony Phillips | Joe Morgan | Jim Essian,Ray Burris | Bill Caudill | Curt Young | Tom Burgmeier | Jeff Jones | Keith Atherton | Steve McCatty | Mike Warren,Rickey Henderson | Dwayne Murphy | Carney Lansford | Tony Phillips,Mike Davis | Davey Lopes | Tom Burgmeier | Bob Kearney | Steve McCatty | Keith Atherton,4,6,C02,OAK,AL,W,4,162,77,85,N,,N,N,738.0,796.0,1353281.0,Oakland Athletics,Oakland Coliseum
1985,Mike Davis | Dwayne Murphy | Mike Heath | Bruce Bochte | Don Sutton | Steve Ontiveros | Jay Howell | Dusty Baker | Tony Phillips | Donnie Hill,Mike Davis | Dwayne Murphy | Mike Heath | Bruce Bochte | Dusty Baker | Tony Phillips | Donnie Hill | Dave Collins,Don Sutton | Steve Ontiveros | Jay Howell | Jose Rijo | Tim Birtsas | Rick Langford | Chris Codiroli | Steve Mura,Dwayne Murphy | Mike Heath | Tony Phillips,Rickey Henderson | Carney Lansford | Ray Burris | Bill Caudill | Dave Kingman | Joe Morgan | Jim Essian,3,7,C03,OAK,AL,W,4,162,77,85,N,,N,N,757.0,787.0,1334599.0,Oakland Athletics,Oakland Coliseum
1986,Tony Phillips | Carney Lansford | Mike Davis | Dwayne Murphy | Alfredo Griffin | Jose Canseco | Curt Young | Moose Haas | Donnie Hill | Joaquin Andujar,Tony Phillips | Carney Lansford | Mike Davis | Dwayne Murphy | Alfredo Griffin | Jose Canseco | Donnie Hill | Mickey Tettleton,Curt Young | Moose Haas | Joaquin Andujar | Dave Stewart | Doug Bair | Jay Howell | Dave Von Ohlen | Jose Rijo,Tony Phillips | Mike Davis | Dwayne Murphy | Donnie Hill,Mike Heath | Bruce Bochte | Don Sutton | Steve Ontiveros | Jay Howell | Dusty Baker,4,6,C03,OAK,AL,W,3,162,76,86,N,,N,N,731.0,760.0,1314646.0,Oakland Athletics,Oakland Coliseum
1987,Carney Lansford | Mark McGwire | Dave Stewart | Terry Steinbach | Dennis Eckersley | Curt Young | Luis Polonia | Tony Phillips | Alfredo Griffin | Jose Canseco,Carney Lansford | Mark McGwire | Terry Steinbach | Luis Polonia | Tony Phillips | Alfredo Griffin | Jose Canseco | Dwayne Murphy,Dave Stewart | Dennis Eckersley | Curt Young | Gene Nelson | Steve Ontiveros | Rick Rodriguez | Storm Davis | Eric Plunk,Carney Lansford | Curt Young | Tony Phillips | Alfredo Griffin | Jose Canseco,Mike Davis | Dwayne Murphy | Moose Haas | Donnie Hill | Joaquin Andujar,5,5,C03,OAK,AL,W,3,162,81,81,N,,N,N,806.0,789.0,1678921.0,Oakland Athletics,Oakland Coliseum
1988,Jose Canseco | Dave Henderson | Dave Stewart | Carney Lansford | Bob Welch | Walt Weiss | Storm Davis | Mark McGwire | Terry Steinbach | Dennis Eckersley,Jose Canseco | Dave Henderson | Carney Lansford | Walt Weiss | Mark McGwire | Terry Steinbach | Glenn Hubbard | Ron Hassey,Dave Stewart | Bob Welch | Storm Davis | Dennis Eckersley | Todd Burns | Gene Nelson | Eric Plunk | Greg Cadaret,Jose Canseco | Dave Stewart | Carney Lansford | Mark McGwire | Terry Steinbach | Dennis Eckersley,Curt Young | Luis Polonia | Tony Phillips | Alfredo Griffin,6,4,C03,OAK,AL,W,1,162,104,58,Y,,Y,N,800.0,620.0,2287335.0,Oakland Athletics,Oakland Coliseum
